second,count,habit,mean_volume_cm3_s,conc,dNdd,bin_mid,LWC,IWC,w,pres,alt,temp,pass_n
2022-07-30 17:15:19,3.0,CP,3292.207948368445,0.0009112425603269,9.112425603269508e-05,360.0,0.53859024,0.3002482033333333,5.668,461.8512600000001,6520.46,261.59784,8
2022-07-30 17:15:19,1.0,CP,2948.7554655835456,0.0003391261200433,3.391261200433602e-05,410.0,0.3920912,1.3715271,5.8229995,461.8935,6521.0923,261.6721,8
2022-07-30 17:15:19,1.0,CP,2920.7136662568305,0.0003423820731053,3.423820731053017e-05,440.0,0.38493907,0.5400338,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:19,1.0,Dif,3829.552552705904,0.0002611271124333,2.611271124333873e-05,460.0,0.43187135,0.45009094,5.8229995,461.8935,6521.0923,261.6721,8
2022-07-30 17:15:19,1.0,CP,2728.561451371512,0.0003664934867042,3.664934867042667e-05,490.0,0.37341785,0.3449258,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:19,1.0,CP,2565.800210312955,0.0003897419588558,3.89741958855802e-05,540.0,0.38301656,0.9773289,5.8229995,461.8935,6521.0923,261.6721,8
2022-07-30 17:15:19,1.0,CP,2412.618108204719,0.0004144874800529,4.144874800529958e-05,550.0,0.4280973,0.4848854,5.8229995,461.8935,6521.0923,261.6721,8
2022-07-30 17:15:19,1.0,CP,651.0239339600037,0.0015360418378434,0.0001536041837843,1130.0,0.47643244,0.42041886,5.8229995,461.8935,6521.0923,261.6721,8
2022-07-30 17:15:20,2.0,CP,4694.008312820333,0.0004260750869438,4.2607508694383336e-05,300.0,0.48984328,0.2843054499999999,6.23425,462.13292,6520.294,261.65938,8
2022-07-30 17:15:20,1.0,Co,4288.230028241694,0.0002331964454831,2.3319644548313348e-05,300.0,0.485879,0.31442696,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,4.643717728055077,CP,4386.268560510443,0.0010586943466851,0.0001058694346685,310.0,0.508218554,0.327357154,6.3475,462.189252,6520.2608,261.671688,8
2022-07-30 17:15:20,1.0,Co,4483.149574979952,0.0002230574695925,2.230574695925625e-05,310.0,0.46442005,0.387936,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,0.3562822719449224,HPC,4445.326674104809,8.014760175452569e-05,8.014760175452569e-06,310.0,0.4971179233333333,0.34815533,6.0455000000000005,462.0390333333333,6520.349333333333,261.6388666666667,8
2022-07-30 17:15:20,4.762478485370052,CP,4337.504970816916,0.0010979764904968,0.0001097976490496,320.0,0.520248158,0.309036666,6.3475,462.189252,6520.2608,261.671688,8
2022-07-30 17:15:20,2.0,Co,4434.419688295388,0.0004510173011541,4.510173011541923e-05,320.0,0.47006631,0.166050735,5.668,461.85126,6520.46,261.59784,8
2022-07-30 17:15:20,0.2375215146299483,HPC,4329.123965342909,5.486595360434181e-05,5.486595360434181e-06,320.0,0.535987725,0.268130675,6.23425,462.13292,6520.294,261.65938,8
2022-07-30 17:15:20,5.524956970740103,CP,4494.482688190788,0.0012292753925289,0.0001229275392528,330.0,0.51724695,0.317678225,6.611750000000001,462.3206933333334,6520.183333333333,261.70040666666665,8
